,index,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_017E,B03002_018E,B03002_019E,B03002_020E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E
1135,"Census Tract 8241.07, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824107",6957,3077,109,110,181,167,60,29,0,179,6957,6210,5653,444,0,53,0,0,60,0,60,747,524,0,0,0,0,213,10,10,5213,88,0,0,0,0,74,28,13,0,19,12,13,44,70,78,1188,131,327,658,734,1163,493,18,62
1136,"Census Tract 8243, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824300",4410,2222,59,132,147,58,70,22,51,77,4410,4328,276,3968,12,12,0,20,40,0,40,82,49,33,0,0,0,0,0,0,3276,37,0,0,0,0,0,0,0,1,0,201,25,45,172,121,716,126,210,921,268,204,119,104,6
1137,"Census Tract 8255.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:825504",3915,2197,333,83,61,107,79,15,50,63,3915,3862,255,3588,0,0,0,0,19,7,12,53,46,0,0,0,0,7,0,0,2662,0,0,0,0,0,0,1,0,0,19,24,35,58,83,40,498,175,118,915,250,219,227,0,0
1138,"Census Tract 8257, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:825700",4214,2041,124,178,170,106,59,58,34,89,4214,3177,645,2519,0,0,0,0,13,0,13,1037,729,0,4,14,0,269,21,21,2704,28,0,0,0,7,0,0,7,22,9,89,47,42,94,31,789,134,284,525,228,246,41,62,19
1139,"Census Tract 8258.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:825803",5508,2660,132,240,235,158,97,94,0,135,5508,5055,410,4621,0,11,0,0,13,0,13,453,273,0,0,0,0,180,0,0,3901,90,0,0,0,0,7,0,7,26,52,104,61,14,145,132,780,145,251,884,306,622,193,82,0
1140,"Census Tract 8263.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826303",4631,2164,66,160,232,98,104,14,41,117,4631,4607,248,4190,0,39,0,0,130,0,130,24,6,18,0,0,0,0,0,0,2920,19,0,0,0,28,0,11,0,0,0,15,22,27,108,46,614,232,178,690,272,457,141,28,32
1141,"Census Tract 8273, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:827300",2898,1443,95,127,112,44,55,9,45,43,2898,2463,50,2132,0,117,0,46,118,0,118,435,303,0,0,0,0,132,0,0,1854,16,0,0,0,0,19,0,0,0,0,57,22,29,64,18,821,75,163,415,67,66,22,0,0
1142,"Census Tract 8285.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:828503",4877,2579,136,205,422,71,125,52,146,89,4877,4286,920,3286,0,62,0,0,18,0,18,591,355,0,0,0,0,86,150,150,2746,26,0,0,0,0,0,0,18,8,0,5,76,50,78,131,1183,49,188,407,242,229,56,0,0
1143,"Census Tract 6404, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:640400",3874,2010,21,124,260,62,140,23,18,80,3874,2312,1951,86,0,38,0,0,237,0,237,1562,693,0,0,0,0,585,284,41,2597,27,0,0,0,0,0,0,36,42,11,0,47,139,47,36,1110,97,120,189,215,303,133,45,0
1144,"Census Tract 6604, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:660400",6319,2861,155,309,305,190,55,31,44,185,6319,528,418,110,0,0,0,0,0,0,0,5791,1965,6,0,0,0,3811,9,9,3410,148,0,0,0,27,78,135,104,309,87,103,22,175,98,87,979,125,82,382,142,297,26,4,0
